Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
ACTICIDE 45;MX-248194-2608;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;Si;Si;No;Si;100;15/08/2024;15/08/2026;INDUSTRIAL
ACTICIDE BW 20;MX-263741-2711;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;100;14/11/2025;14/11/2027;INDUSTRIAL
ACTICIDE CBM2;MX-257218-2602;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;100;07/05/2025;07/02/2026;INDUSTRIAL
ACTICIDE CBM2;MX-261857-2606;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;2800;15/09/2025;15/06/2026;INDUSTRIAL
ACTICIDE EPW;MX-261127-2608;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;400;27/08/2025;27/08/2026;INDUSTRIAL
ACTICIDE HF;MX-241628-2508;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;2100;19/02/2024;22/02/2026;INDUSTRIAL
ACTICIDE HF;MX-257851-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;400;20/11/2024;20/11/2026;INDUSTRIAL
ACTICIDE IPS 20;MX-250986-2606;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;23/06/2025;23/06/2026;INDUSTRIAL
ACTICIDE LA 1206;MX-245898-2512;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;1700;20/06/2024;20/12/2025;INDUSTRIAL
ACTICIDE LA 1206;MX-256456-2610;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;08/04/2025;08/10/2026;INDUSTRIAL
ACTICIDE LA 1206;257810-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;900;22/05/2025;22/11/2026;INDUSTRIAL
ACTICIDE LA 1206;MX-262978-2704;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;900;22/10/2025;22/04/2027;INDUSTRIAL
ACTICIDE LV 706;RP-0157023003-2510;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;400;03/05/2024;25/10/2025;INDUSTRIAL
ACTICIDE MBS;MX-252316-2512;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;300;05/12/2024;05/12/2025;INDUSTRIAL
ACTICIDE MV;MX-256423-2610;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;300;10/04/2025;10/10/2026;INDUSTRIAL
ACTICIDE OF 1;MX-256426-2604;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;07/04/2025;07/04/2026;INDUSTRIAL
ACTICIDE RS;MX-257785-2705;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;19/05/2025;19/05/2027;INDUSTRIAL
ACTICIDE ZPD1;RP-0183081002-2601;THOR;Corrosivo;ATENCIÓN;No;No;No;No;Si;No;Si;No;Si;200;13/01/2025;13/01/2026;INDUSTRIAL
ACTIWHITE LS 9808;27430998;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;450;13/12/2023;13/12/2025;COSMETICA
ADVANCED MOISTURE COMLEX NP;28031712;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;575;05/07/2024;04/07/2026;COSMETICA
AGNIQUE AMD 3L;29283701;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;19/11/2025;19/11/2027;INDUSTRIAL
AH CARE L 65;29153277;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;350;23/10/2025;16/04/2027;COSMETICA
ANASENSYL LS 9322;28491109;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;50;11/07/2024;11/07/2026;COSMETICA
ARBOCEL M 80;72813230809;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;01/08/2023;01/08/2026;FARMA
ARLYPON F;28338228;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;1100;22/05/2024;22/05/2026;COSMETICA
ARLYPON TT;29641145;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;1200;26/08/2025;17/02/2027;COSMETICA
ASCORBIL FOSFATO DE SODIO;24182107;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;03/05/2024;03/05/2026;COSMETICA
ASEBIOL LS 2539 BT 2;27750061;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;425;13/11/2023;12/11/2024;COSMETICA
BICARBONATO DE SODIO;25CSBIF015;SUDEEP;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;200;01/03/2025;01/02/2030;FARMA
BIOPHYTEX LS 9832;28017683;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;25;20/08/2024;19/08/2026;COSMETICA
BISABOLOL RAC.;32326047G0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;775;17/02/2025;18/08/2027;COSMETICA
CAFFEINE POWDER;22042027;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;250;25/01/2022;24/01/2027;COSMETICA
CALCIUM STEARATE;24JCSTD003;SUDEEP;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;200;01/09/2024;01/08/2026;FARMA
CEGESOFT C 24;27639290;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;01/10/2023;01/10/2025;COSMETICA
CELLACTOSE 80;L100460525;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;3000;01/02/2025;23/01/2028;FARMA
CELLACTOSE 80;L100464625;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;3000;16/11/2025;05/11/2028;FARMA
CETIOL 868;26556684;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;08/10/2022;08/10/2023;COSMETICA
CETIOL AB;P29743D181;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;21/03/2025;12/09/2026;COSMETICA
CETIOL ABV;28134935;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;16/03/2024;07/09/2025;COSMETICA
CETIOL B;29731177;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;03/10/2025;04/04/2027;COSMETICA
CETIOL C 5;27850893;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2250;13/12/2023;05/06/2025;COSMETICA
CETIOL CC;0029185223 RSPO;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;17/02/2025;17/02/2027;COSMETICA
CETIOL EXTREME;28559372;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;800;12/02/2025;28/01/2027;COSMETICA
CETIOL HE;28700434;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;05/11/2024;29/04/2026;COSMETICA
CETIOL J 600;29005773;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;08/05/2025;08/05/2026;COSMETICA
CETIOL MM;29204819;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;24/02/2025;24/02/2027;COSMETICA
CETIOL OE;28242271;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;200;18/04/2024;18/04/2026;COSMETICA
CETIOL OE;29212411;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;26/02/2025;26/02/2027;COSMETICA
CETIOL RLF;24465958;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;07/05/2021;07/05/2023;COSMETICA
CETIOL RLF;25734157;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;05/01/2023;05/01/2025;COSMETICA
CETIOL SB 45;2905431;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;19/12/2024;19/06/2026;COSMETICA
CETIOL SENSOFT;27851906;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1500;14/12/2023;13/12/2025;COSMETICA
CETIOL SOFTFEEL;24729146;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;100;28/06/2021;14/07/2023;COSMETICA
CETIOL ULTIMATE;29147404;BASF;Toxico;PELIGRO;No;No;No;No;No;No;No;Si;No;500;04/02/2025;29/07/2026;COSMETICA
CETIOL V;27851673;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;13/03/2024;12/03/2025;COSMETICA
CLORURO DE POTASIO;3424000504;K+S;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1500;29/07/2024;29/07/2027;FARMA
CLORURO DE SODIO;7 24500;ESCO;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;15/06/2025;12/06/2028;FARMA
CLORURO DE SODIO;6 25500;ESCO;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;21/06/2025;19/06/2028;FARMA
CLORURO DE SODIO;3 26500;ESCO;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;25/06/2025;23/06/2028;FARMA
COMBILAC;L100064925;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;3000;05/12/2025;26/11/2027;FARMA
COMPERLAN 100;25333655;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;700;16/11/2021;16/11/2023;COSMETICA
COMPERLAN 100;28152340;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;750;21/03/2024;21/03/2026;COSMETICA
COMPERLAN 100;28815062;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;550;23/10/2024;23/10/2026;COSMETICA
COMPERLAN KD;28087467;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;Si;1100;03/03/2024;03/03/2026;COSMETICA
COSMEDIA A 91;CR51134894;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;23/04/2025;23/04/2026;COSMETICA
COSMEDIA DC;28665862;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;200;10/09/2024;10/09/2026;COSMETICA
COSMEDIA TRIPLE C;28691174;BASF;Sin Riesgo;PELIGRO;No;No;No;No;No;No;No;No;Si;1000;18/09/2024;12/03/2026;COSMETICA
CREMOPHOR RH 40;3,01E+07;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;150;06/06/2024;06/06/2026;COSMETICA
CUTINA AGS;29152653;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1100;05/02/2025;05/02/2027;COSMETICA
CUTINA CP;28642411;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;09/09/2024;02/09/2026;COSMETICA
CUTINA GMS V;28642377;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2000;02/09/2024;02/09/2025;COSMETICA
CUTINA PES;27757592;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;03/03/2023;12/11/2025;COSMETICA
CUTINA PES;28379630;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;05/06/2024;05/06/2026;COSMETICA
CUTINA SHINE;29328365;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1500;15/04/2025;15/04/2027;COSMETICA
D PANTENOL CARE;93318288Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;400;01/03/2024;01/03/2027;COSMETICA
DEHYDOL LT 7;24H20490H0;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1200;21/08/2024;21/08/2026;INDUSTRIAL
DEHYMULS PGPH;27445320;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;150;14/12/2023;14/12/2025;COSMETICA
DEHYPON  LT  104;01235329U0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;600;10/01/2025;10/01/2027;INDUSTRIAL
DEHYQUART C 4046;29347333;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;900;23/04/2025;23/04/2026;COSMETICA
DEHYQUART C 4046;29618204;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;600;18/08/2025;18/08/2026;COSMETICA
DEHYQUART F 75 T;29239979;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;550;09/03/2025;09/03/2026;COSMETICA
DEHYQUART GUAR N;250625951C;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1400;25/06/2025;25/06/2027;COSMETICA
DEHYQUART H 81;28265267;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;25/04/2024;25/04/2025;COSMETICA
DEHYQUART L 80 T;30012447;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;900;17/02/2026;17/02/2027;COSMETICA
DEHYTON K;29294281;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1000;01/04/2025;01/04/2026;COSMETICA
DEHYTON MC;29174101;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;900;13/02/2025;13/02/2026;COSMETICA
DERIPHAT 160C;DER20094R;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1200;07/12/2020;07/12/2023;INDUSTRIAL
DL ALPHA TOCOPHEROL;4,45E+07;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;200;23/06/2025;22/06/2028;FARMA
DRY VITAMINA A PALMITATO 250 MS CWD;25976235;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2200;26/04/2022;25/04/2024;FARMA
DRY VITAMINA D3 100 GFP;25595548;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1450;23/01/2022;23/01/2024;FARMA
DULCEMIN PW BIO LS 9903;23369163;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;30;14/09/2020;14/09/2022;COSMETICA
DURALAC H;LC 033-24-805;MEGGLE;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;5000;12/08/2024;16/08/2027;FARMA
ECHINACEA PURPUREA AERIAL PART PE 4% - EA834410;AG00004242;GIVAUDAN INTERNATIONAL;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;19/03/2021;15/03/2024;FARMA
EDETA BD;76659047G0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;Si;No;400;06/03/2024;06/03/2027;COSMETICA
ELESTAB HP 100;28456285;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;175;21/11/2024;20/11/2027;COSMETICA
EMCOMPRESS;1048707;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2000;16/05/2024;16/05/2026;FARMA
EMULAN OC;33682936W0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;600;09/04/2025;09/04/2027;INDUSTRIAL
EMULGADE 1000 NI;29263461;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;800;19/03/2025;19/03/2027;COSMETICA
