Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
KOLLIPHOR RH 40;53725456P0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2500;30/06/2025;30/06/2027;FARMA
KOLLIPHOR SLS FINE;29840693;BASF;Inflamable;PELIGRO;No;Si;No;No;Si;No;Si;No;No;250;25/11/2025;25/11/2027;FARMA
KOLLISOLV GTA;27625060;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;26/09/2023;25/09/2025;FARMA
KOLLISOLV P 124 GEISMAR;GNI16322B;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;11/06/2024;11/06/2027;FARMA
KOLLISOLV PEG 300 G;87544136W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;11/04/2023;11/04/2025;FARMA
KOLLISOLV PEG 300 G;33622736W0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;29/01/2024;28/01/2026;FARMA
KOLLISOLV PEG 400;16337256P0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;13/03/2024;13/03/2026;FARMA
KOLLISOLV PEG 400;87300636W0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;15/11/2024;15/11/2026;FARMA
KOLLISOLV PEG 400;9,56E+07;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;26/05/2025;26/05/2027;FARMA
KOLLISOLV PEG 8000;GNI05723C;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;750;26/02/2024;25/02/2026;FARMA
KOLLISOLV PEG 8000;GNI19021B;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;08/07/2024;08/07/2026;FARMA
KOLLITAB DC 87 L;65831836W0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;5000;09/01/2023;08/01/2026;FARMA
KOLLIWAX CA;56501147G0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;15/07/2024;15/07/2027;FARMA
KOLLIWAX CSA 50;27830069;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;07/12/2023;06/12/2025;FARMA
KOLLIWAX HCO;00731809T0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;14/11/2023;13/11/2025;FARMA
KOLLIWAX HCO;09553216K0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;08/03/2024;08/07/2026;FARMA
KOLLIWAX S;27714529;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;30/10/2023;29/10/2025;FARMA
KOLLIWAX S FINE;28521713;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;500;22/07/2024;22/07/2026;FARMA
KOLLIWAX SA;28032952;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;15/02/2024;14/02/2026;FARMA
KOLLIWAX SA;28373876;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;04/06/2024;04/06/2026;FARMA
LAMEFORM TGI;27067420;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;600;08/08/2023;08/08/2025;COSMETICA
LAMEFORM TGI;28628419;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;700;27/08/2024;27/08/2026;COSMETICA
LAMESOFT PO 65;29509628;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;500;03/07/2025;03/07/2026;COSMETICA
LAMESOFT TM BENZ;29368467;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;1000;02/05/2025;02/05/2026;COSMETICA
LANETTE O;29085277;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1200;09/01/2025;09/01/2027;COSMETICA
LANETTE SX;25409807;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;02/12/2021;02/12/2023;COSMETICA
LARICYL LS 8865;27434428;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;95;21/07/2023;11/01/2026;COSMETICA
LAVERGY A STAR 100 L;72477247G0;BASF;Toxico;PELIGRO;No;No;No;No;No;No;No;Si;No;200;09/10/2024;02/04/2026;INDUSTRIAL
LAVERGY C BRIGHT 100L;82957656P0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;700;28/08/2024;14/02/2027;INDUSTRIAL
LAVERGY C CARE 100 L;86395856P0;BASF;Toxico;PELIGRO;No;No;No;No;No;No;No;Si;No;700;19/04/2025;16/10/2026;INDUSTRIAL
LAVERGY M ACE 100 L;31247147G0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;01/11/2023;31/01/2026;INDUSTRIAL
LAVERGY PRO 114 LS;59903888Q0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1000;29/07/2025;11/07/2026;INDUSTRIAL
LAVERGY PRO 114 LS;01774706D0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;100;14/04/2025;06/10/2026;INDUSTRIAL
LIPOFRUCTYL ARGAN LS 9779;24155982;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;225;14/10/2022;13/10/2024;COSMETICA
LITCHIDERM LS 9704;28115553;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;125;15/03/2024;15/03/2026;COSMETICA
LOROL C 16;28152874;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;21/03/2024;21/03/2026;COSMETICA
LOROL C 18;27640929;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1100;09/11/2023;08/11/2025;COSMETICA
LOROL C 18 SAC PAST;29141052;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;31/01/2025;31/01/2027;COSMETICA
LUBRI-PREZ;25AMSTD015;SUDEEP;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;600;31/01/2025;30/12/2029;FARMA
LUBRITAB;2301000233;JRS;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2000;11/01/2023;11/01/2025;FARMA
LUDIFLASH;62709247G0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;4000;25/01/2024;24/01/2027;FARMA
LUTENSOL AO 7;23H04190H0;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1000;08/08/2023;07/08/2025;INDUSTRIAL
LUTENSOL M 7;24L05490H0;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;1800;05/12/2024;05/12/2026;INDUSTRIAL
LUTENSOL M79;28509620;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;1000;19/07/2024;19/07/2026;INDUSTRIAL
LUTENSOL NE 9;K25307C932;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1400;07/03/2025;07/03/2027;INDUSTRIAL
LUTENSOL TO8;25E26590H0;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1000;26/05/2025;26/05/2027;INDUSTRIAL
LUTENSOL XL 100;21339788Q0;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;2400;07/10/2024;07/10/2026;INDUSTRIAL
LUTROPUR MSA;82994824U0;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1600;18/02/2025;28/02/2029;INDUSTRIAL
LUVIQUAT HM 552;00738788Q0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;900;17/01/2025;17/01/2027;COSMETICA
LUVIQUAT HOLD AT 3;29612956P0;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;800;24/01/2025;23/01/2027;COSMETICA
LUVIQUAT SUPREME AT 1;68110675L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;800;10/05/2025;10/05/2027;COSMETICA
LUVIQUAT ULTRACARE AT 1;91406624U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;Si;840;07/06/2024;07/06/2026;COSMETICA
LUVISET 360;29309937;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;08/04/2025;08/10/2026;COSMETICA
LUVISET CLEAR AT 3;89976856P0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;300;28/02/2024;28/02/2026;COSMETICA
LUVISET CLEAR AT 3;81416088Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1000;12/03/2024;12/03/2026;COSMETICA
LUVISKOL VA 64 POWDER;81812988Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;700;22/08/2025;22/08/2027;COSMETICA
LUVISKOL VA 64 W;25380424U0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;900;17/07/2025;17/07/2027;COSMETICA
LUVITOL LITE EM;50353075L0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;1700;15/05/2024;15/05/2026;COSMETICA
LYCOVIT DISPERSION 10%;94246588Q0;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;100;15/11/2022;15/11/2026;FARMA
MARANIL DB50;27969492;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;2600;06/01/2024;25/01/2026;INDUSTRIAL
MAT-XS CLINICAL A00098;25375195;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;115;25/11/2021;19/05/2023;COSMETICA
MELANEVEN BC10046;28362578;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;40;07/06/2024;29/11/2025;COSMETICA
MELANEVEN BC10046;29204497;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;120;26/02/2025;26/02/2027;COSMETICA
MICROCARE AMIDE BHAM;C-218402-2505;THOR;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;4000;20/06/2023;31/05/2025;COSMETICA
MICROCARE CB;MX-235600-2507;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;700;27/07/2023;27/07/2025;COSMETICA
MICROCARE DB;C-306208-2504;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;800;25/10/2023;30/04/2025;COSMETICA
MICROCARE EMOLIENTE DCP;C-406192-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;350;12/11/2024;30/11/2026;COSMETICA
